iter	RMSE
0	1601.423693
1	1521.930436
2	1451.164488
3	1390.1955
4	1339.289252
5	1297.605943
6	1259.956525
7	1229.75678
8	1203.43298
9	1180.002423
10	1161.207334
11	1145.116456
12	1132.242017
13	1121.841721
14	1112.005987
15	1103.717428
16	1098.164794
17	1092.699452
18	1088.646547
19	1083.831463
20	1079.660913
21	1076.018195
22	1072.819294
23	1070.04778
24	1067.700035
25	1065.986001
26	1064.856451
27	1063.181379
28	1062.620783
29	1061.611503
30	1060.266494
31	1058.643613
32	1057.229844
33	1056.565467
34	1055.2017
35	1053.207197
36	1052.258611
37	1050.916875
38	1050.114502
39	1049.226336
40	1048.069785
41	1047.710934
42	1046.824305
43	1045.870835
44	1045.007647
45	1044.346809
46	1044.29932
47	1043.207626
48	1042.224052
49	1041.723559
50	1041.182124
51	1040.185708
52	1039.607644
53	1038.401006
54	1036.644527
55	1035.267798
56	1034.785391
57	1033.834395
58	1033.402596
59	1032.715766
60	1031.928815
61	1031.083358
62	1030.226089
63	1029.678439
64	1028.360126
65	1027.998358
66	1026.97404
67	1026.571738
68	1025.533715
69	1024.764606
70	1024.036369
71	1023.036434
72	1022.456831
73	1021.85548
74	1021.229893
75	1020.188031
76	1019.72984
77	1019.167994
78	1018.489751
79	1018.124938
80	1017.523002
81	1016.634928
82	1015.458727
83	1014.969163
84	1014.419498
85	1013.912862
86	1013.395524
87	1012.677895
88	1011.985507
89	1011.297172
90	1010.194603
91	1009.273192
92	1008.761777
93	1007.967824
94	1007.079475
95	1006.13241
96	1005.10427
97	1004.607955
98	1004.08315
99	1002.871416
