iter	Passed	Remaining
0	3	367
1	7	360
2	10	347
3	14	336
4	17	327
5	20	324
6	23	318
7	27	310
8	30	305
9	33	301
10	36	297
11	40	294
12	43	289
13	46	286
14	50	285
15	53	282
16	56	276
17	59	273
18	62	268
19	66	265
20	70	263
21	73	260
22	77	258
23	80	255
24	84	252
25	87	249
26	90	245
27	93	240
28	95	233
29	98	230
30	101	226
31	105	223
32	108	219
33	111	217
34	115	213
35	118	210
36	122	207
37	125	204
38	128	200
39	131	197
40	135	194
41	138	190
42	141	187
43	144	184
44	148	181
45	151	178
46	153	173
47	156	169
48	160	166
49	164	164
50	167	160
51	170	157
52	173	154
53	177	150
54	180	147
55	183	144
56	187	141
57	190	137
58	193	134
59	197	131
60	201	128
61	204	125
62	208	122
63	211	119
64	215	116
65	218	112
66	222	109
67	225	106
68	229	103
69	232	99
70	236	96
71	240	93
72	243	90
73	246	86
74	250	83
75	255	80
76	258	77
77	262	74
78	266	70
79	270	67
80	273	64
81	277	60
82	280	57
83	284	54
84	287	50
85	291	47
86	294	44
87	297	40
88	301	37
89	304	33
90	307	30
91	311	27
92	313	23
93	316	20
94	320	16
95	323	13
96	326	10
97	330	6
98	333	3
99	337	0
